security_crisis_phase,bigram,tfidf_score,rank
during_security,vladimir putin,0.46,1
during_security,russian federation,0.218018,2
during_security,president russia,0.098635,3
during_security,deputy prime,0.079715,4
during_security,russia vladimir,0.0794,5
during_security,president biden,0.075489,6
during_security,military operation,0.073598,7
during_security,special military,0.071832,8
during_security,long time,0.060669,9
during_security,states america,0.056381,10
during_security,young people,0.055939,11
during_security,security council,0.050326,12
during_security,st petersburg,0.050326,13
during_security,american people,0.049885,14
during_security,xi jinping,0.04957,15
during_security,middle class,0.047425,16
during_security,presidential executive,0.046542,17
during_security,executive office,0.046164,18
during_security,billion rubles,0.045407,19
during_security,long term,0.045092,20
during_security,government russian,0.044777,21
during_security,audience member,0.043515,22
during_security,health care,0.041623,23
during_security,chief staff,0.039227,24
during_security,people republic,0.038911,25
pre_security,vladimir putin,0.460915,1
pre_security,president trump,0.153079,2
pre_security,russian federation,0.129003,3
pre_security,president russia,0.106215,4
pre_security,russia vladimir,0.083906,5
pre_security,long time,0.075941,6
pre_security,law enforcement,0.061058,7
pre_security,security council,0.052284,8
pre_security,little bit,0.050967,9
pre_security,health care,0.050008,10
pre_security,american people,0.048062,11
pre_security,north korea,0.046595,12
pre_security,st petersburg,0.046145,13
pre_security,covid 19,0.045876,14
pre_security,billion rubles,0.044588,15
pre_security,young people,0.040665,16
pre_security,executive order,0.040366,17
pre_security,god bless,0.03833,18
pre_security,far east,0.037551,19
pre_security,long term,0.036982,20
pre_security,deputy prime,0.036653,21
pre_security,president xi,0.035814,22
pre_security,state duma,0.034078,23
pre_security,presidential executive,0.034048,24
pre_security,middle east,0.033539,25
